title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
The White City,Claude McKay,McKay,"I will not toy with it nor bend an inch.
Deep in the secret chambers of my heart
I muse my life-long hate, and without flinch
I bear it nobly as I live my part.
My being would be a skeleton, a shell,
If this dark Passion that fills my every mood,
And makes my heaven in the white world’s hell,
Did not forever feed me vital blood.
I see the mighty city through a mist‐--
The strident trains that speed the goaded mass,
The poles and spires and towers vapor-kissed,
The fortressed port through which the great ships pass,
The tides, the wharves, the dens I contemplate,
Are sweet like wanton loves because I hate.",October,1921,The Liberator,Max Eastman,Sonnet,male,Race,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Enslaved,Claude McKay,McKay,"Oh when I think of my long-suffering race,
For weary centuries despised, oppressed,
Enslaved and lynched, denied a human place
In the great life line of the Christian West;
And in the Black Land disinherited,
Robbed in the ancient country of its birth,
My heart grows sick with hate, becomes as lead,
For this my race that has no home on earth.
Then from the dark depths of my soul I cry
To the avenging angel to consume
The white man’s world of wonders utterly:
Let it be swallowed up in earth’s vast womb,
Or upward roll as sacrificial smoke
To liberate my people from its yoke!",July,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,"Slavery, Empire",Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
To One Coming North,Claude McKay,McKay,"At first you’ll joy to see the playful snow,
Like white moths trembling on the tropic air,
Or waters of the hills that softly flow
Gracefully falling down a shining stair.

And when the fields and streets are covered white
And the wind-worried void is chilly, raw,
Or underneath a spell of heat and light
The cheerless frozen spots begin to thaw,

Like me you’ll long for home, where birds’ glad song
Means flowering lanes and leas and spaces dry,
And tender thoughts and feelings fine and strong,
Beneath a vivid silver-flecked blue sky.

But oh! more than the changeless southern isles,
When Spring has shed upon the earth her charm,
You’ll love the Northland wreathed in golden smiles
By the miraculous sun turned glad and warm.",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,Travel-Migration-Great Migration,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
A Memory of June,Claude McKay,McKay,"When June comes dancing o’er the death of May,
With scarlet roses tinting her green breast,
And mating thrushes ushering in her day,
And Earth on tiptoe for her golden guest,

I always see the evening when we met─
The first of June baptized in tender rain─
And walked home through the wide streets, gleaming wet,
Arms locked, our warm flesh pulsing with love’s pain.

I always see the cheerful little room,
And in the corner, fresh and white, the bed,
Sweet scented with a delicate perfume,
Wherein for one night only we were wed;

Where in the starlit stillness we lay mute,
And heard the whispering showers all night long,
And your brown burning body was a lute
Whereon my passion played his fevered song.

When June comes dancing o’er the death of May,
With scarlet roses staining her fair feet,
My soul takes leave of me to sing all day
A love so fugitive and so complete.
",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Spring in New Hampshire,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Morning Joy,Claude McKay,McKay,"At night the wide and level stretch of wold,
Which at high noon had basked in quiet gold,
Far as the eye could see was ghostly white;
Dark was the night save for the snow’s weird light.

I drew the shades far down, crept into bed;
Hearing the cold wind moaning overhead
Through the sad pines, my soul, catching its pain,
Went sorrowing with it across the plain.

At dawn, behold! the pall of night was gone,
Save where a few shrubs melancholy, lone,
Detained a fragile shadow. Golden-lipped
The laughing grasses heaven’s sweet wine sipped.

The sun rose smiling o’er the river’s breast,
And my soul, by his happy spirit blest,
Soared like a bird to greet him in the sky,
And drew out of his heart Eternity.",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
The Easter Flower,Claude McKay,McKay,"Far from this foreign Easter damp and chilly
     My soul steals to a pear-shaped plot of ground,
Where gleamed the lilac-tinted Easter lily
     Soft-scented in the air for yards around;

Alone, without a hint of guardian leaf!
     Just like a fragile bell of silver rime,
It burst the tomb for freedom sweet and brief
     In the young pregnant year at Eastertime;

And many thought it was a sacred sign,
     And some called it the resurrection flower;
And I, a pagan, worshiped at its shrine,
     Yielding my heart unto its perfumed power.",March,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Baptism,Claude McKay,McKay,"Into the furnace let me go alone;
Stay you without in terror of the heat.
I will go naked in–for thus ’tis sweet—
Into the weird depths of the hottest zone.
I will not quiver in the frailest bone,
You will not note a flicker of defeat;
My heart shall tremble not its fate to meet,
My mouth give utterance to any moan.
The yawning oven spits forth fiery spears;
Red aspish tongues shout wordlessly my name.
Desire destroys, consumes my mortal fears,
Transforming me into a shape of flame.
I will come out, back to your world of tears,
A stronger soul within a finer frame.",October,1921,The Liberator,Max Eastman,Sonnet,male,,"Harlem Shadows, Survey Graphic, The New Negro",New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Through Agony,Claude McKay,McKay,"I

All night, through the eternity of night,
Pain was my portion though I could not feel.
Deep in my humbled heart you ground your heel,
Till I was reft of even my inner light,
Till reason from my mind had taken flight,
And all my world went whirling in a reel.
And all my swarthy strength turned cold like steel,
A passive mass beneath your puny might.
Last night I gave you triumph over me,
So I should be myself as once before,
I marveled at your shallow mystery,
And haunted hungrily your temple door.
I gave you sum and substance to be free,
Oh, you shall never triumph any more!

II
I do not fear to face the fact and say,
How darkly-dull my living hours have grown,
My wounded heart sinks heavier than stone,
Because I loved you longer than a day!
I do not shame to turn myself away
From beckoning flowers beautifully blown,
To mourn your vivid memory alone
In mountain fastnesses austerely gray.
The mists will shroud me on the utter height,
The salty, brimming waters of my breast
Will mingle with the fresh dews of the night
To bathe my spirit hankering to rest.
But after sleep I’ll wake with greater might,
Once more to venture on the eternal quest.",December,1921,The Liberator,Max Eastman,Sonnet,male,,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Thirst,Claude McKay,McKay,"My spirit wails for water, water now!
My tongue is aching dry, my throat is hot
For water, fresh rain shaken from a bough,
Or dawn dews heavy in some leafy spot.
My hungry body’s burning for a swim
In sunlit water where the air is cool,
As in Trout Valley where upon a limb
The golden finch sings sweetly to the pool.
Oh water, water, when the night is done,
When day steals gray-white through the window-pane,
Clear silver water when I wake, alone,
All impotent of parts, of fevered brain;
Pure water from a forest fountain first,
To wash me, cleanse me, and to quench my thirst!",December,1921,The Liberator,Max Eastman,Sonnet,male,,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Jasmines,Claude McKay,McKay,"Your scent is in the room.
Swiftly it overwhelms and conquers me!
Jasmines, night jasmines, perfect of perfume,
Heavy with dew before the dawn of day!
Your face was in the mirror. I could see
You smile and vanish suddenly away,
Leaving behind the vestige of a tear.
Sad suffering face, from parting grown so dear!
Night jasmines cannot bloom in this cold place;
Without the street is wet and weird with snow;
The cold nude trees are tossing to and fro;
Too stormy is the night for your fond face,
For your low voice too loud the wind's mad roar.
But Oh, your scent --- jasmines, jasmines. that grow
Luxuriant, clustered round your cottage door!",August ,1921,The Liberator,"Max Eastman, Claude McKay",,male,,,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
The Tropics in New York,Claude McKay ,McKay ,"Bananas ripe and green, and ginger-root,
Cocoa in pods and alligator pears,
And tangerines and mangoes and grape fruit,
Fit for the highest prize at parish fairs,
Set in the window, bringing memories
Of fruit-trees laden by low-singing rills,
And dewy dawns, and mystical blue skies
In benediction over nun-like hills.
My eyes grew dim, and I could no more gaze;
A wave of longing through my body swept,
And, hungry for the old, familiar ways,
I turned aside and bowed my head and wept.",March,1925,Survey Graphic,Alain Locke,,male,Travel-Migration-Great Migration,"Harlem Shadows, The New Negro",New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
William McKinley,Cleveland Suarez,Suarez,"The silent air is musical with thought---
I hear the beating of the nation's heart ;
It cannot hush the aching tears of grief
Since one has passed into the perfect night ,
The people bow their heads in the belief
He was a benefactor , faithful from the start.
O hero, martyr and the nation's chief,
The fragrant breathing of the silver chimes
Is but the adieu;
We see no more the placid face
That stood to greet the benediction of a RACE.",October,1901,Colored American,Walter W. Wallace,Elegy,male,,,Boston,Predom. Black,
Midnight Thoughts,Clifford L. Miller,Miller,"Midnight thoughts are the mouse that gnaws all night;
Starts up strange sounds, when all stilly sounds subside;
Ever bolder, bolder grows his gnawing by night
To bore into oak wood a tight passage
To lead to some eery darker nook.
I gnaw tonight on life's deep mystery
While slumberers sleep, a sound, a sweet sleep.
My life is wood I strive to split, to splinter
To gnaw through all stubborn resistance a way
To the next room, darker and more mysterious.
I must whip up my heart while thoughts gnaw on,-
Thoughts that never weary of gnawing gnawing·
Mouse-like, they may eat through to find some food
In a spacious, sweet-smelling chamber.
Midnight thoughts are the mouse that gnaws all night.
I woidd from them scurry and flee away
So weary I of thoughts that gnaw all night.",June,1928,Saturday Evening Quill,Eugene Gordon,,male,,,,Predom. Black,
A Latter-Day Eden,Colonel Charles Young,Young,"It was a twentieth century eden, mine ;
A modern Adam, I; and for my Eve ,
God gave a winsome woman with senses fine
Who deemed the cloth -of-life of golden weave.
'Mid trees whereon hung riches, pleasur, glory,
Again thro ' eden's garden went we twain,
Care -free and gay as when in ancient story
The first fair Eve with Adam led the train
Of all the living down the vernal vales,
And threaded sun-flecked shadowed paths of paradise;
Or rested at the noon in those sweet - scented bowers
In trustful love, while drinking from each other's eyes
Mutual content and joy and happiness for hours .
The feast with plenty flower -crowned,
   Sweet music's most enchanting strain,
Dance with her deft and measured round ,
      And lays
         Of poet-praise
Were ours: and counted not as vain .
   Ah, eden days indeed ! days of delight
   That melted into golden mist at night !
We drank from selfish satisfaction's cup,
         Content , and toyed
With life's ideals . Drank the dregs (ah, sorry sup!)
         O fsin and cloyed.
Riches, success, soft ease , and luxury
Were our cup-bearers round our bounteous board ,
Disguised devil -gods, who from the tree
Of life made their wit-stealing wine and poured
For us a heaven-forbidden draught and smiled
While merriment amused and sense beguiled .
Then fled the joy, alack ! that filled the heart!
Saddened companions, see, we sit apart!
Oh, day of wrath ! alas, the fateful hour!
O'er all our eden blew a blighting wind
Stifling and sickening spirit , bird and flower ;
Sapping our souls , for we had sinned!—had sinned!
Dark sorrow's dismal night enwrapped us round,
Our once calm bosoms were despair's abode:
No balm for the soul's healing could be found!
Close by our bower the wraiths of unrest rode,
Unbridled fears were loosed , remorse was calling
From the dim distance ne'er-agains appalling .
I knew that naught in me with this fell state could cope,
So led my sickened love into the house of hope.
         And there ---ah, there:
         Gloom and despair!
   Clad in th' habiliments of woe,
      How helpless hope is lying,
   Her lamp of life is burning low,
      Her attendant sisters dying :
   Faith fainting , finds , alas ! too late
      Friendship's best bonds are interest,
   And gray -robed death she doth await,
      His coming deems a welcome guest.
   Love lifts her eyes to heaven in prayer
      While her brightest stars are paling ;
   But a gleam of blessing finds she there
      The earth's a place of wailing;
   ""Tho' the arms that clasped her yesterday
      When all the world was green and bright
   Are loosed and gone for aye -for aye ,
      Slinking away beneath the night .
Then pointed love aloft, her eyes in sorrowing gaze,
We heard an angel -voice from out a golden haze,
Say soft in accents soothing , gracious , kind ---
Delicious as sweet -scented south-land wind:
""Ah , man ! ah, woman ! for each wasted year
May you atone, God says !-But 'tis not here.
Forth from your eden ! Leave illusion land,
Go to the struggling poor , weep round the bier ,
The lowly lift and dry misfortune's tear !
Of every race, each is your brother man:
Try what your loving ministrations can.
Encourage him, remove oppression's heel ,
And with each daily doing learn to feel .
Work , man ! work, woman , without recompense ,
Nor expectant of reward or grateful sense!
Work for the land's uplifting , for the right :
For work alone leads back again to light.
God's law for restoration , earthly neighbor ,
Of thy soul - joy again from grief is LABOR!",January,1902,Colored American,Walter W. Wallace,,male,"Labor, Spanish-American War",,Boston,Predom. Black,https://en.wikipedia.org/wiki/Charles_Young_(United_States_Army_officer)
